SquashedGaussianMLPActor(
  (net): Sequential(
    (0): Linear(in_features=23, out_features=256, bias=True)
    (1): ReLU()
    (2): Linear(in_features=256, out_features=256, bias=True)
    (3): ReLU()
    (4): Linear(in_features=256, out_features=256, bias=True)
    (5): ReLU()
  )
  (mu_layer): Linear(in_features=256, out_features=6, bias=True)
  (log_std_layer): Linear(in_features=256, out_features=6, bias=True)
)Epoch: 1, Timestep: 1000, Reward: -0.89, Noise_std: 0.1004, Time: 00:00:01
Epoch: 2, Timestep: 2000, Reward: -74.44, Noise_std: 0.1008, Time: 00:00:06
Epoch: 3, Timestep: 3000, Reward: -122.93, Noise_std: 0.1012, Time: 00:00:11
Epoch: 4, Timestep: 4000, Reward: -188.39, Noise_std: 0.1016, Time: 00:00:16
Epoch: 5, Timestep: 5000, Reward: -201.09, Noise_std: 0.1020, Time: 00:00:21
Epoch: 6, Timestep: 6000, Reward: -81.72, Noise_std: 0.1024, Time: 00:00:26
Epoch: 7, Timestep: 7000, Reward: -341.00, Noise_std: 0.1028, Time: 00:00:31
Epoch: 8, Timestep: 8000, Reward: -44.81, Noise_std: 0.1032, Time: 00:00:36
Epoch: 9, Timestep: 9000, Reward: -540.72, Noise_std: 0.1036, Time: 00:00:41
Epoch: 10, Timestep: 10000, Reward: 266.66, Noise_std: 0.1040, Time: 00:00:46
Epoch: 11, Timestep: 11000, Reward: 244.72, Noise_std: 0.1044, Time: 00:00:51
Epoch: 12, Timestep: 12000, Reward: 527.14, Noise_std: 0.1048, Time: 00:00:56
Epoch: 13, Timestep: 13000, Reward: 704.61, Noise_std: 0.1052, Time: 00:01:01
Epoch: 14, Timestep: 14000, Reward: 1598.42, Noise_std: 0.1056, Time: 00:01:06
Epoch: 15, Timestep: 15000, Reward: 1323.14, Noise_std: 0.1060, Time: 00:01:11
Epoch: 16, Timestep: 16000, Reward: 1965.72, Noise_std: 0.1064, Time: 00:01:17
Epoch: 17, Timestep: 17000, Reward: 2053.55, Noise_std: 0.1068, Time: 00:01:22
Epoch: 18, Timestep: 18000, Reward: 1937.40, Noise_std: 0.1072, Time: 00:01:27
Epoch: 19, Timestep: 19000, Reward: 2187.40, Noise_std: 0.1076, Time: 00:01:32
Epoch: 20, Timestep: 20000, Reward: 2708.72, Noise_std: 0.1080, Time: 00:01:37
Epoch: 21, Timestep: 21000, Reward: 2626.50, Noise_std: 0.1084, Time: 00:01:43
Epoch: 22, Timestep: 22000, Reward: 2860.16, Noise_std: 0.1088, Time: 00:01:48
Epoch: 23, Timestep: 23000, Reward: 3117.69, Noise_std: 0.1092, Time: 00:01:53
Epoch: 24, Timestep: 24000, Reward: 3288.60, Noise_std: 0.1096, Time: 00:01:59
Epoch: 25, Timestep: 25000, Reward: 3192.95, Noise_std: 0.1100, Time: 00:02:04
Epoch: 26, Timestep: 26000, Reward: 3191.82, Noise_std: 0.1104, Time: 00:02:08
Epoch: 27, Timestep: 27000, Reward: 3554.77, Noise_std: 0.1108, Time: 00:02:13
Epoch: 28, Timestep: 28000, Reward: 3532.47, Noise_std: 0.1112, Time: 00:02:18
Epoch: 29, Timestep: 29000, Reward: 3424.92, Noise_std: 0.1116, Time: 00:02:23
Epoch: 30, Timestep: 30000, Reward: 3919.42, Noise_std: 0.1120, Time: 00:02:28
Epoch: 31, Timestep: 31000, Reward: 3999.29, Noise_std: 0.1124, Time: 00:02:33
Epoch: 32, Timestep: 32000, Reward: 3687.73, Noise_std: 0.1128, Time: 00:02:38
Epoch: 33, Timestep: 33000, Reward: 4101.56, Noise_std: 0.1132, Time: 00:02:43
Epoch: 34, Timestep: 34000, Reward: 4355.63, Noise_std: 0.1136, Time: 00:02:48
Epoch: 35, Timestep: 35000, Reward: 4432.78, Noise_std: 0.1140, Time: 00:02:53
Epoch: 36, Timestep: 36000, Reward: 4397.32, Noise_std: 0.1144, Time: 00:02:58
Epoch: 37, Timestep: 37000, Reward: 4435.34, Noise_std: 0.1148, Time: 00:03:02
Epoch: 38, Timestep: 38000, Reward: 4423.52, Noise_std: 0.1152, Time: 00:03:07
Epoch: 39, Timestep: 39000, Reward: 4519.61, Noise_std: 0.1156, Time: 00:03:12
Epoch: 40, Timestep: 40000, Reward: 4369.15, Noise_std: 0.1160, Time: 00:03:16
Epoch: 41, Timestep: 41000, Reward: 4580.12, Noise_std: 0.1164, Time: 00:03:21
Epoch: 42, Timestep: 42000, Reward: 4648.47, Noise_std: 0.1168, Time: 00:03:26
Epoch: 43, Timestep: 43000, Reward: 4697.51, Noise_std: 0.1172, Time: 00:03:31
Epoch: 44, Timestep: 44000, Reward: 4721.39, Noise_std: 0.1176, Time: 00:03:35
Epoch: 45, Timestep: 45000, Reward: 4790.14, Noise_std: 0.1180, Time: 00:03:40
Epoch: 46, Timestep: 46000, Reward: 4465.41, Noise_std: 0.1184, Time: 00:03:44
Epoch: 47, Timestep: 47000, Reward: 4975.88, Noise_std: 0.1188, Time: 00:03:49
Epoch: 48, Timestep: 48000, Reward: 4997.51, Noise_std: 0.1192, Time: 00:03:54
Epoch: 49, Timestep: 49000, Reward: 4768.53, Noise_std: 0.1196, Time: 00:03:58
Epoch: 50, Timestep: 50000, Reward: 4481.14, Noise_std: 0.1200, Time: 00:04:03
Epoch: 51, Timestep: 51000, Reward: 5199.94, Noise_std: 0.1204, Time: 00:04:07
Epoch: 52, Timestep: 52000, Reward: 5082.79, Noise_std: 0.1208, Time: 00:04:12
Epoch: 53, Timestep: 53000, Reward: 5109.41, Noise_std: 0.1212, Time: 00:04:17
