Epoch: 1, Timestep: 1000, Reward: 987.12,  Time: 00:00:00
Epoch: 2, Timestep: 2000, Reward: 607.88,  Time: 00:00:08
Epoch: 3, Timestep: 3000, Reward: 221.11,  Time: 00:00:16
Epoch: 4, Timestep: 4000, Reward: 471.27,  Time: 00:00:24
Epoch: 5, Timestep: 5000, Reward: 497.34,  Time: 00:00:32
Epoch: 6, Timestep: 6000, Reward: -12.90,  Time: 00:00:40
Epoch: 7, Timestep: 7000, Reward: 580.02,  Time: 00:00:47
Epoch: 8, Timestep: 8000, Reward: -18.02,  Time: 00:00:55
Epoch: 9, Timestep: 9000, Reward: 220.70,  Time: 00:01:02
Epoch: 10, Timestep: 10000, Reward: -5.43,  Time: 00:01:10
Epoch: 11, Timestep: 11000, Reward: 718.88,  Time: 00:01:17
Epoch: 12, Timestep: 12000, Reward: 569.72,  Time: 00:01:26
Epoch: 13, Timestep: 13000, Reward: 877.44,  Time: 00:01:35
Epoch: 14, Timestep: 14000, Reward: 911.62,  Time: 00:01:43
Epoch: 15, Timestep: 15000, Reward: 878.25,  Time: 00:01:52
Epoch: 16, Timestep: 16000, Reward: 656.42,  Time: 00:02:00
Epoch: 17, Timestep: 17000, Reward: 768.76,  Time: 00:02:09
Epoch: 18, Timestep: 18000, Reward: 927.73,  Time: 00:02:18
Epoch: 19, Timestep: 19000, Reward: 759.04,  Time: 00:02:27
Epoch: 20, Timestep: 20000, Reward: 611.97,  Time: 00:02:35
Epoch: 21, Timestep: 21000, Reward: 835.07,  Time: 00:02:43
Epoch: 22, Timestep: 22000, Reward: 871.83,  Time: 00:02:50
Epoch: 23, Timestep: 23000, Reward: 897.94,  Time: 00:02:57
Epoch: 24, Timestep: 24000, Reward: 953.08,  Time: 00:03:04
Epoch: 25, Timestep: 25000, Reward: 760.46,  Time: 00:03:11
Epoch: 26, Timestep: 26000, Reward: 632.74,  Time: 00:03:18
Epoch: 27, Timestep: 27000, Reward: 836.11,  Time: 00:03:25
