Epoch: 660, Timestep: 660000, Reward: 5304.11, Noise_std: 0.3636, Time: 01:27:59
Epoch: 670, Timestep: 670000, Reward: 4957.12, Noise_std: 0.3676, Time: 01:29:19
Epoch: 680, Timestep: 680000, Reward: 4777.76, Noise_std: 0.3716, Time: 01:30:39
Epoch: 690, Timestep: 690000, Reward: 5187.24, Noise_std: 0.3756, Time: 01:32:00
Epoch: 700, Timestep: 700000, Reward: 3215.88, Noise_std: 0.3796, Time: 01:33:19
Epoch: 710, Timestep: 710000, Reward: 5120.72, Noise_std: 0.3836, Time: 01:34:40
Epoch: 720, Timestep: 720000, Reward: 3677.60, Noise_std: 0.3876, Time: 01:36:00
Epoch: 730, Timestep: 730000, Reward: 5143.25, Noise_std: 0.3916, Time: 01:37:20
Epoch: 740, Timestep: 740000, Reward: 2914.36, Noise_std: 0.3956, Time: 01:38:40
Epoch: 750, Timestep: 750000, Reward: 5069.90, Noise_std: 0.3996, Time: 01:40:00
Epoch: 760, Timestep: 760000, Reward: 5171.05, Noise_std: 0.4036, Time: 01:41:21
Epoch: 770, Timestep: 770000, Reward: 5352.30, Noise_std: 0.4076, Time: 01:42:48
Epoch: 780, Timestep: 780000, Reward: 5352.36, Noise_std: 0.4116, Time: 01:44:14
Epoch: 790, Timestep: 790000, Reward: 1817.71, Noise_std: 0.4156, Time: 01:45:38
Epoch: 800, Timestep: 800000, Reward: 5420.72, Noise_std: 0.4196, Time: 01:47:03
Epoch: 810, Timestep: 810000, Reward: 872.96, Noise_std: 0.4236, Time: 01:48:30
Epoch: 820, Timestep: 820000, Reward: 4932.22, Noise_std: 0.4276, Time: 01:49:54
Epoch: 830, Timestep: 830000, Reward: 5689.57, Noise_std: 0.4316, Time: 01:51:19
Epoch: 840, Timestep: 840000, Reward: 5233.34, Noise_std: 0.4356, Time: 01:52:44
Epoch: 850, Timestep: 850000, Reward: 4243.62, Noise_std: 0.4396, Time: 01:54:10
Epoch: 860, Timestep: 860000, Reward: 5533.40, Noise_std: 0.4436, Time: 01:55:35
Epoch: 870, Timestep: 870000, Reward: 5396.03, Noise_std: 0.4476, Time: 01:57:00
Epoch: 880, Timestep: 880000, Reward: 5724.53, Noise_std: 0.4516, Time: 01:58:26
Epoch: 890, Timestep: 890000, Reward: 5480.36, Noise_std: 0.4556, Time: 01:59:53
Epoch: 900, Timestep: 900000, Reward: 3001.00, Noise_std: 0.4596, Time: 02:01:20
Epoch: 910, Timestep: 910000, Reward: 4688.01, Noise_std: 0.4636, Time: 02:02:48
Epoch: 920, Timestep: 920000, Reward: 5456.84, Noise_std: 0.4676, Time: 02:04:13
Epoch: 930, Timestep: 930000, Reward: 5649.95, Noise_std: 0.4716, Time: 02:05:33
Epoch: 940, Timestep: 940000, Reward: 5197.82, Noise_std: 0.4756, Time: 02:06:53
Epoch: 950, Timestep: 950000, Reward: 5355.69, Noise_std: 0.4796, Time: 02:08:13
Epoch: 960, Timestep: 960000, Reward: 5376.03, Noise_std: 0.4836, Time: 02:09:32
Epoch: 970, Timestep: 970000, Reward: 5245.11, Noise_std: 0.4876, Time: 02:10:51
Epoch: 980, Timestep: 980000, Reward: 5045.67, Noise_std: 0.4916, Time: 02:12:10
Epoch: 990, Timestep: 990000, Reward: 2601.37, Noise_std: 0.4956, Time: 02:13:30
Epoch: 1000, Timestep: 1000000, Reward: 5661.29, Noise_std: 0.4996, Time: 02:14:49
Epoch: 1010, Timestep: 1010000, Reward: 5478.58, Noise_std: 0.5000, Time: 02:16:08
Epoch: 1020, Timestep: 1020000, Reward: 1193.00, Noise_std: 0.5000, Time: 02:17:28
Epoch: 1030, Timestep: 1030000, Reward: 5542.15, Noise_std: 0.5000, Time: 02:18:46
Epoch: 1040, Timestep: 1040000, Reward: 5296.52, Noise_std: 0.5000, Time: 02:20:05
Epoch: 1050, Timestep: 1050000, Reward: 4991.76, Noise_std: 0.5000, Time: 02:21:23
Epoch: 1060, Timestep: 1060000, Reward: 5304.78, Noise_std: 0.5000, Time: 02:22:42
Epoch: 1070, Timestep: 1070000, Reward: 5246.47, Noise_std: 0.5000, Time: 02:24:02
Epoch: 1080, Timestep: 1080000, Reward: 3354.01, Noise_std: 0.5000, Time: 02:25:21
