SquashedGaussianMLPActor(
  (net): Sequential(
    (0): Linear(in_features=23, out_features=256, bias=True)
    (1): ReLU()
    (2): Linear(in_features=256, out_features=256, bias=True)
    (3): ReLU()
    (4): Linear(in_features=256, out_features=256, bias=True)
    (5): ReLU()
    (6): Linear(in_features=256, out_features=256, bias=True)
    (7): ReLU()
  )
  (mu_layer): Linear(in_features=256, out_features=6, bias=True)
  (log_std_layer): Linear(in_features=256, out_features=6, bias=True)
)Epoch: 1, Timestep: 1000, Reward: -2.29, Noise_std: 0.1004, Time: 00:00:00
Epoch: 2, Timestep: 2000, Reward: -60.35, Noise_std: 0.1008, Time: 00:00:07
Epoch: 3, Timestep: 3000, Reward: -232.46, Noise_std: 0.1012, Time: 00:00:13
Epoch: 4, Timestep: 4000, Reward: -194.10, Noise_std: 0.1016, Time: 00:00:20
Epoch: 5, Timestep: 5000, Reward: -7.03, Noise_std: 0.1020, Time: 00:00:27
Epoch: 6, Timestep: 6000, Reward: -0.60, Noise_std: 0.1024, Time: 00:00:34
Epoch: 7, Timestep: 7000, Reward: -7.39, Noise_std: 0.1028, Time: 00:00:40
Epoch: 8, Timestep: 8000, Reward: 4.13, Noise_std: 0.1032, Time: 00:00:47
Epoch: 9, Timestep: 9000, Reward: -47.49, Noise_std: 0.1036, Time: 00:00:54
Epoch: 10, Timestep: 10000, Reward: 313.45, Noise_std: 0.1040, Time: 00:01:01
Epoch: 11, Timestep: 11000, Reward: 269.65, Noise_std: 0.1044, Time: 00:01:08
Epoch: 12, Timestep: 12000, Reward: 338.41, Noise_std: 0.1048, Time: 00:01:16
Epoch: 13, Timestep: 13000, Reward: 1222.08, Noise_std: 0.1052, Time: 00:01:23
Epoch: 14, Timestep: 14000, Reward: 1413.00, Noise_std: 0.1056, Time: 00:01:30
Epoch: 15, Timestep: 15000, Reward: 1327.34, Noise_std: 0.1060, Time: 00:01:38
Epoch: 16, Timestep: 16000, Reward: 1468.03, Noise_std: 0.1064, Time: 00:01:45
Epoch: 17, Timestep: 17000, Reward: 1508.97, Noise_std: 0.1068, Time: 00:01:53
Epoch: 18, Timestep: 18000, Reward: 2099.15, Noise_std: 0.1072, Time: 00:02:00
Epoch: 19, Timestep: 19000, Reward: 2000.03, Noise_std: 0.1076, Time: 00:02:08
Epoch: 20, Timestep: 20000, Reward: 2418.92, Noise_std: 0.1080, Time: 00:02:15
Epoch: 21, Timestep: 21000, Reward: 2308.93, Noise_std: 0.1084, Time: 00:02:22
Epoch: 22, Timestep: 22000, Reward: 2619.68, Noise_std: 0.1088, Time: 00:02:30
Epoch: 23, Timestep: 23000, Reward: 2502.75, Noise_std: 0.1092, Time: 00:02:37
Epoch: 24, Timestep: 24000, Reward: 3098.32, Noise_std: 0.1096, Time: 00:02:45
Epoch: 25, Timestep: 25000, Reward: 3476.99, Noise_std: 0.1100, Time: 00:02:52
Epoch: 26, Timestep: 26000, Reward: 3133.18, Noise_std: 0.1104, Time: 00:02:59
Epoch: 27, Timestep: 27000, Reward: 3270.36, Noise_std: 0.1108, Time: 00:03:07
Epoch: 28, Timestep: 28000, Reward: 3617.30, Noise_std: 0.1112, Time: 00:03:14
Epoch: 29, Timestep: 29000, Reward: 3684.04, Noise_std: 0.1116, Time: 00:03:22
Epoch: 30, Timestep: 30000, Reward: 3453.27, Noise_std: 0.1120, Time: 00:03:29
Epoch: 31, Timestep: 31000, Reward: 3853.20, Noise_std: 0.1124, Time: 00:03:36
Epoch: 32, Timestep: 32000, Reward: 3583.40, Noise_std: 0.1128, Time: 00:03:44
Epoch: 33, Timestep: 33000, Reward: 3973.14, Noise_std: 0.1132, Time: 00:03:51
Epoch: 34, Timestep: 34000, Reward: 4097.49, Noise_std: 0.1136, Time: 00:03:59
Epoch: 35, Timestep: 35000, Reward: 4124.89, Noise_std: 0.1140, Time: 00:04:06
Epoch: 36, Timestep: 36000, Reward: 4158.67, Noise_std: 0.1144, Time: 00:04:13
Epoch: 37, Timestep: 37000, Reward: 4430.55, Noise_std: 0.1148, Time: 00:04:21
Epoch: 38, Timestep: 38000, Reward: 4135.24, Noise_std: 0.1152, Time: 00:04:28
Epoch: 39, Timestep: 39000, Reward: 4409.29, Noise_std: 0.1156, Time: 00:04:36
Epoch: 40, Timestep: 40000, Reward: 4232.69, Noise_std: 0.1160, Time: 00:04:43
Epoch: 41, Timestep: 41000, Reward: 4491.65, Noise_std: 0.1164, Time: 00:04:50
Epoch: 42, Timestep: 42000, Reward: 4432.42, Noise_std: 0.1168, Time: 00:04:57
Epoch: 43, Timestep: 43000, Reward: 4663.27, Noise_std: 0.1172, Time: 00:05:05
Epoch: 44, Timestep: 44000, Reward: 4860.93, Noise_std: 0.1176, Time: 00:05:12
Epoch: 45, Timestep: 45000, Reward: 4991.35, Noise_std: 0.1180, Time: 00:05:20
Epoch: 46, Timestep: 46000, Reward: 4630.16, Noise_std: 0.1184, Time: 00:05:27
Epoch: 47, Timestep: 47000, Reward: 4851.57, Noise_std: 0.1188, Time: 00:05:35
Epoch: 48, Timestep: 48000, Reward: 5077.94, Noise_std: 0.1192, Time: 00:05:42
Epoch: 49, Timestep: 49000, Reward: 4971.69, Noise_std: 0.1196, Time: 00:05:49
Epoch: 50, Timestep: 50000, Reward: 4945.26, Noise_std: 0.1200, Time: 00:05:57
Epoch: 51, Timestep: 51000, Reward: 4864.38, Noise_std: 0.1204, Time: 00:06:04
