Epoch: 850, Timestep: 850000, Reward: 11642.64,  Time: 01:48:06
Epoch: 860, Timestep: 860000, Reward: 11185.33,  Time: 01:49:23
Epoch: 870, Timestep: 870000, Reward: 11135.43,  Time: 01:50:39
Epoch: 880, Timestep: 880000, Reward: 11270.50,  Time: 01:51:56
Epoch: 890, Timestep: 890000, Reward: 11787.31,  Time: 01:53:12
Epoch: 900, Timestep: 900000, Reward: 10987.04,  Time: 01:54:28
Epoch: 910, Timestep: 910000, Reward: 11004.43,  Time: 01:55:46
Epoch: 920, Timestep: 920000, Reward: 11748.50,  Time: 01:57:02
Epoch: 930, Timestep: 930000, Reward: 12176.32,  Time: 01:58:18
Epoch: 940, Timestep: 940000, Reward: 11652.23,  Time: 01:59:34
Epoch: 950, Timestep: 950000, Reward: 12094.37,  Time: 02:00:51
Epoch: 960, Timestep: 960000, Reward: 10938.77,  Time: 02:02:08
Epoch: 970, Timestep: 970000, Reward: 11422.86,  Time: 02:03:25
Epoch: 980, Timestep: 980000, Reward: 11501.72,  Time: 02:04:40
Epoch: 990, Timestep: 990000, Reward: 10919.15,  Time: 02:05:57
Epoch: 1000, Timestep: 1000000, Reward: 12137.16,  Time: 02:07:13
Epoch: 1010, Timestep: 1010000, Reward: 11293.85,  Time: 02:08:30
Epoch: 1020, Timestep: 1020000, Reward: 11563.99,  Time: 02:09:46
Epoch: 1030, Timestep: 1030000, Reward: 11698.17,  Time: 02:11:02
Epoch: 1040, Timestep: 1040000, Reward: 2749.81,  Time: 02:12:19
Epoch: 1050, Timestep: 1050000, Reward: 12122.75,  Time: 02:13:35
Epoch: 1060, Timestep: 1060000, Reward: 12183.36,  Time: 02:14:49
Epoch: 1070, Timestep: 1070000, Reward: 11026.88,  Time: 02:16:06
Epoch: 1080, Timestep: 1080000, Reward: 12038.32,  Time: 02:17:22
Epoch: 1090, Timestep: 1090000, Reward: 12172.33,  Time: 02:18:39
Epoch: 1100, Timestep: 1100000, Reward: 12065.10,  Time: 02:19:56
Epoch: 1110, Timestep: 1110000, Reward: 12268.49,  Time: 02:21:13
Epoch: 1120, Timestep: 1120000, Reward: 11489.64,  Time: 02:22:30
Epoch: 1130, Timestep: 1130000, Reward: 12147.36,  Time: 02:23:46
Epoch: 1140, Timestep: 1140000, Reward: 11710.55,  Time: 02:25:01
Epoch: 1150, Timestep: 1150000, Reward: 12209.67,  Time: 02:26:18
Epoch: 1160, Timestep: 1160000, Reward: 12185.65,  Time: 02:27:34
Epoch: 1170, Timestep: 1170000, Reward: 12114.68,  Time: 02:28:51
Epoch: 1180, Timestep: 1180000, Reward: -120.23,  Time: 02:30:08
Epoch: 1190, Timestep: 1190000, Reward: 11760.29,  Time: 02:31:25
Epoch: 1200, Timestep: 1200000, Reward: 12088.79,  Time: 02:32:42
Epoch: 1210, Timestep: 1210000, Reward: 12047.23,  Time: 02:33:58
Epoch: 1220, Timestep: 1220000, Reward: 11891.98,  Time: 02:35:15
Epoch: 1230, Timestep: 1230000, Reward: 12571.28,  Time: 02:36:32
Epoch: 1240, Timestep: 1240000, Reward: 12222.20,  Time: 02:37:48
Epoch: 1250, Timestep: 1250000, Reward: 11967.51,  Time: 02:39:04
Epoch: 1260, Timestep: 1260000, Reward: 12120.02,  Time: 02:40:21
Epoch: 1270, Timestep: 1270000, Reward: 12461.47,  Time: 02:41:37
Epoch: 1280, Timestep: 1280000, Reward: 11704.19,  Time: 02:42:53
Epoch: 1290, Timestep: 1290000, Reward: 12335.66,  Time: 02:44:10
Epoch: 1300, Timestep: 1300000, Reward: 12079.33,  Time: 02:45:26
Epoch: 1310, Timestep: 1310000, Reward: 12365.68,  Time: 02:46:43
Epoch: 1320, Timestep: 1320000, Reward: 11311.02,  Time: 02:47:59
Epoch: 1330, Timestep: 1330000, Reward: 12271.66,  Time: 02:49:16
Epoch: 1340, Timestep: 1340000, Reward: 12214.97,  Time: 02:50:32
Epoch: 1350, Timestep: 1350000, Reward: 12148.06,  Time: 02:51:47
Epoch: 1360, Timestep: 1360000, Reward: 12538.42,  Time: 02:53:03
Epoch: 1370, Timestep: 1370000, Reward: 12086.91,  Time: 02:54:19
Epoch: 1380, Timestep: 1380000, Reward: 12030.11,  Time: 02:55:34
Epoch: 1390, Timestep: 1390000, Reward: 12073.82,  Time: 02:56:51
Epoch: 1400, Timestep: 1400000, Reward: 12647.45,  Time: 02:58:07
Epoch: 1410, Timestep: 1410000, Reward: 12478.67,  Time: 02:59:24
